GENESIS-Tabelle: 31121-03-02-5-B
Baufertigstellungen: Wohnungen in Wohn- und;;;;;;
Nichtwohngebäuden (einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baufertigstellungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01054148;Welt;0;0;0;0;0
01054149;Wenningstedt-Braderup (Sylt);34;5;17;5;7
01054150;Westerhever;-2;-4;1;1;0
01054151;Westerland;-;-;-;-;-
01054152;Wester-Ohrstedt;2;0;1;0;1
01054154;Westre;0;0;0;-2;2
01054156;Winnert;1;0;0;0;1
01054157;Wisch;-;-;-;-;-
01054158;Witsum;-;-;-;-;-
01054159;Wittbek;4;0;0;0;4
01054160;Wittdün auf Amrum;11;1;0;9;1
01054161;Witzwort;7;0;3;0;4
01054162;Wobbenbüll;6;0;2;3;1
01054163;Wrixum;6;2;1;0;3
01054164;Wyk auf Föhr;38;-1;5;25;9
01054165;Galmsbüll;0;0;1;-3;2
01054166;Emmelsbüll-Horsbüll;2;-1;1;-1;3
01054167;Enge-Sande;3;0;-1;1;3
01054168;Sylt;174;77;51;30;16
01055001;Ahrensbök;11;0;0;0;11
01055002;Altenkrempe;1;2;-8;4;3
01055004;Bad Schwartau;52;16;21;5;10
01055006;Beschendorf;0;0;0;0;0
01055007;Bosau;5;0;0;3;2
01055010;Dahme;6;0;0;0;6
01055011;Damlos;1;0;-1;-1;3
01055012;Eutin;89;9;40;13;27
01055014;Göhl;0;0;0;0;0
01055015;Gremersdorf;5;1;2;0;2
01055016;Grömitz;47;11;19;8;9
01055017;Großenbrode;21;2;14;1;4
01055018;Grube;8;1;5;2;0
01055020;Harmsdorf;-;-;-;-;-
01055021;Heiligenhafen;126;15;55;41;15
01055022;Heringsdorf (Holstein);2;0;0;1;1
01055023;Kabelhorst;0;0;0;0;0
01055024;Kasseedorf;3;2;0;0;1
01055025;Kellenhusen (Ostsee);24;0;14;4;6
01055027;Lensahn;10;0;7;1;2
01055028;Malente;8;0;3;2;3
01055029;Manhagen;-;-;-;-;-
01055031;Neukirchen;0;-1;1;-1;1
01055032;Neustadt in Holstein;71;7;13;29;22
01055033;Oldenburg in Holstein;9;-1;-2;2;10
01055035;Ratekau;27;3;1;6;17
01055036;Riepsdorf;1;0;0;0;1
01055037;Schashagen;13;-1;1;12;1
01055038;Schönwalde am Bungsberg;0;0;-1;1;0
01055039;Sierksdorf;48;1;41;6;0
01055040;Stockelsdorf;69;2;5;9;53
01055041;Süsel;15;1;5;3;6
01055042;Timmendorfer Strand;69;20;27;18;4
01055043;Wangels;1;0;2;-1;0
01055044;Scharbeutz;95;8;18;32;37
01055046;Fehmarn;174;50;58;45;21
01056001;Appen;14;0;1;9;4
01056002;Barmstedt;34;4;6;8;16
01056003;Bevern;0;0;0;0;0
01056004;Bilsen;6;0;0;1;5
01056005;Bönningstedt;5;0;0;0;5
01056006;Bokel;0;0;0;0;0
01056008;Bokholt-Hanredder;5;0;0;3;2
01056009;Borstel-Hohenraden;7;0;0;1;6
01056010;Brande-Hörnerkirchen;7;0;0;3;4
01056011;Bullenkuhlen;1;0;1;-1;1
01056013;Ellerbek;10;0;-1;3;8
01056014;Ellerhoop;3;0;1;1;1
01056015;Elmshorn;240;5;119;60;56
01056016;Groß Nordende;3;3;0;0;0
01056017;Groß Offenseth-Aspern;2;0;0;0;2
01056018;Halstenbek;158;14;53;28;63
01056019;Haselau;1;0;0;0;1
01056020;Haseldorf;6;2;0;1;3
01056021;Hasloh;23;6;4;6;7
01056022;Heede;2;0;0;0;2
01056023;Heidgraben;61;0;3;34;24
01056024;Heist;5;0;1;1;3
01056025;Helgoland;2;1;0;0;1
01056026;Hemdingen;6;0;1;-1;6
01056027;Hetlingen;12;4;2;4;2
01056028;Holm;28;7;4;5;12
01056029;Klein Nordende;25;1;7;6;11
01056030;Klein Offenseth-Sparrieshoop;7;0;1;3;3
01056031;Kölln-Reisiek;30;0;2;4;24
01056032;Kummerfeld;20;1;1;3;15
01056033;Seester;7;0;1;2;4
01056034;Langeln;8;0;0;1;7
01056035;Lutzhorn;8;0;3;-1;6
01056036;Moorrege;10;0;-1;2;9
01056037;Neuendeich;4;2;0;0;2
01056038;Osterhorn;2;0;0;2;0
01056039;Pinneberg;23;2;1;2;18
01056040;Prisdorf;6;0;0;2;4
01056041;Quickborn;87;2;20;21;44
01056042;Raa-Besenbek;2;0;0;1;1
01056043;Rellingen;110;3;14;25;68
01056044;Schenefeld, Stadt;86;3;12;40;31
01056045;Seestermühe;0;0;0;0;0
01056046;Seeth-Ekholt;2;0;0;0;2
01056047;Tangstedt;7;0;0;1;6
01056048;Tornesch;17;1;3;-3;16
01056049;Uetersen;3;0;0;1;2
01056050;Wedel;185;34;73;30;48
01056051;Westerhorn;3;0;0;2;1
01057001;Ascheberg (Holstein);3;0;0;0;3
01057002;Barmissen;-;-;-;-;-
01057003;Barsbek;0;0;0;0;0
01057004;Behrensdorf (Ostsee);7;0;1;4;2
01057005;Belau;-;-;-;-;-
01057006;Bendfeld;1;0;0;0;1
01057007;Blekendorf;13;0;1;8;4
01057008;Bönebüttel;26;0;8;5;13
01057009;Bösdorf;4;1;0;0;3
01057010;Boksee;3;0;1;0;2
01057011;Bothkamp;-;-;-;-;-
01057012;Brodersdorf;-;-;-;-;-
01057013;Dannau;-1;0;-1;0;0
