GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054024;Drelsdorf;441;395;37;56,7;514;0;8;59;130;127;109;81;609
01054025;Dunsum;45;41;4;5,8;49;1;1;7;8;14;10;8;63
01054026;Elisabeth-Sophien-Koog;17;16;0;2,7;19;0;1;2;3;6;2;5;37
01054027;Ellhöft;38;34;3;4,7;44;0;0;5;10;14;9;6;47
01054032;Fresendelf;43;39;3;5,4;49;0;3;9;13;12;5;7;57
01054033;Friedrichstadt;978;793;107;124,0;1413;6;69;264;390;384;155;145;1111
01054034;Friedrich-Wilhelm-Lübke-Koog;57;52;4;7,4;85;0;2;9;14;22;15;23;174
01054035;Garding, Kirchspiel;137;108;19;18,9;195;0;13;38;32;48;36;28;223
01054036;Garding;970;760;109;128,5;1567;8;189;302;444;316;158;150;1142
01054037;Goldebek;118;98;17;15,5;142;0;0;13;42;32;25;30;227
01054038;Goldelund;146;128;15;19,3;176;0;3;19;48;50;27;29;225
01054039;Gröde;7;5;2;1,0;9;0;0;0;1;3;0;5;46
01054040;Grothusenkoog;11;9;1;1,4;17;0;0;4;0;5;5;3;22
01054041;Haselund;296;235;54;43,7;383;3;2;41;89;118;55;75;592
01054042;Hattstedt;862;722;108;119,1;1104;11;48;111;209;313;197;215;1627
01054043;Hattstedtermarsch;98;79;18;12,8;143;1;3;16;31;46;18;28;225
01054045;Högel;152;110;41;21,1;196;2;3;20;59;63;23;26;194
01054046;Hörnum (Sylt);449;349;46;62,7;836;86;169;124;147;179;52;79;635
01054048;Holm;27;23;2;3,7;38;0;1;6;12;6;3;10;80
01054050;Hallig Hooge;51;33;15;7,5;79;6;5;14;20;12;2;20;170
01054052;Horstedt;246;206;30;35,9;328;1;7;39;71;86;57;67;518
01054054;Hude;75;64;11;8,7;88;0;0;14;28;23;17;6;49
01054055;Humptrup;290;259;24;35,2;361;2;10;55;79;109;56;50;397
01054056;Husum;6509;4778;784;1023,2;12454;224;782;2657;3591;2695;1341;1164;8873
01054057;Immenstedt;230;203;24;29,4;269;0;6;24;61;74;57;47;355
01054059;Joldelund;257;214;39;34,4;313;4;0;38;75;69;62;65;486
01054061;Kampen (Sylt);701;568;108;107,7;1076;53;103;196;263;197;116;148;1201
01054062;Karlum;82;73;8;10,1;97;1;1;26;19;18;13;19;155
01054063;Katharinenheerd;78;69;8;9,2;92;0;2;7;23;26;25;9;79
01054065;Klanxbüll;306;239;49;42,9;437;7;23;76;89;118;69;55;431
01054068;Klixbüll;343;294;35;45,2;442;3;14;66;79;130;76;74;563
01054070;Koldenbüttel;329;296;27;42,2;388;2;7;47;76;115;63;78;611
01054071;Kolkerheide;27;27;0;3,4;27;0;0;0;7;9;5;6;45
01054072;Kotzenbüll;80;75;2;10,4;94;0;9;11;15;28;15;16;128
01054073;Ladelund;434;355;56;61,7;645;20;15;73;138;208;106;85;654
01054074;Langeneß;70;56;11;9,3;98;4;5;13;28;22;12;14;116
01054075;Langenhorn;1184;1060;94;144,1;1424;5;34;220;312;397;253;203;1572
01054076;Leck;2185;1693;240;338,7;3763;24;130;633;926;1112;550;388;2942
01054077;Lexgaard;20;18;2;3,1;22;0;0;3;3;4;4;8;63
01054078;List;722;549;74;107,1;1382;70;220;219;327;317;112;117;912
01054079;Löwenstedt;202;161;37;28,1;266;0;10;23;61;77;46;49;368
01054080;Lütjenholm;120;101;17;15,3;145;0;0;21;35;39;25;25;189
01054083;Midlum;152;112;36;20,9;209;1;13;42;44;51;16;42;317
01054084;Mildstedt;1206;1030;134;164,7;1538;2;24;223;245;472;331;241;1825
01054085;Nebel;438;348;63;59,8;668;26;56;122;131;137;81;115;958
01054086;Neukirchen;437;371;48;56,5;569;0;21;119;124;151;81;73;556
01054087;Nieblum;442;359;68;61,5;562;11;22;65;141;134;70;119;986
01054088;Niebüll;2658;2053;329;413,1;4508;46;293;845;1044;1107;644;529;4075
01054089;Norddorf auf Amrum;202;147;28;26,6;358;3;56;77;73;60;29;60;522
01054090;Norderfriedrichskoog;14;7;3;2,2;37;2;4;10;4;7;3;7;51
01054091;Nordstrand;1137;954;135;147,6;1658;86;183;282;381;310;199;217;1714
01054092;Norstedt;142;125;16;19,2;160;0;1;5;29;42;34;49;388
01054093;Ockholm;167;142;21;20,7;209;0;11;37;50;52;26;33;269
01054094;Oevenum;191;138;46;24,8;269;3;22;36;83;53;34;38;299
01054095;Oldenswort;524;449;59;68,5;639;3;25;98;145;155;110;103;796
01054096;Oldersbek;241;209;28;31,3;288;0;5;31;68;88;52;44;339
01054097;Olderup;149;126;22;19,8;180;0;2;24;33;41;51;29;213
01054098;Oldsum;261;200;53;35,0;346;0;24;49;78;83;47;65;528
01054099;Ostenfeld (Husum);540;456;68;75,2;678;1;9;81;156;178;135;118;932
01054100;Osterhever;132;113;14;16,6;165;1;8;29;34;36;26;31;240
01054101;Oster-Ohrstedt;233;192;34;31,2;300;2;4;45;64;86;51;48;372
01054103;Pellworm;578;494;52;72,3;799;16;52;144;185;168;95;139;1114
01054104;Poppenbüll;110;104;3;14,9;123;1;5;18;17;27;25;30;233
01054105;Ramstedt;176;157;18;20,7;206;0;4;24;57;56;33;32;241
01054106;Rantrum;579;503;56;75,5;710;2;26;106;141;160;163;112;845
01054107;Rantum (Sylt);-;-;-;-;-;-;-;-;-;-;-;-;-
01054108;Reußenköge;121;105;13;18,7;155;1;3;22;25;30;31;43;366
01054109;Risum-Lindholm;1216;1055;118;157,4;1567;11;49;231;359;415;263;239;1812
01054110;Rodenäs;174;145;21;23,1;236;19;12;32;48;53;33;39;309
01054113;Sankt Peter-Ording;1857;1339;299;292,8;3801;352;646;837;829;533;284;320;2519
01054116;Schwabstedt;492;405;68;67,0;641;1;11;103;148;160;102;116;886
01054118;Schwesing;324;278;40;43,4;396;4;18;38;68;129;75;64;491
01054119;Seeth;200;163;28;27,9;271;0;13;44;57;80;37;40;316
01054120;Simonsberg;357;306;36;44,6;453;2;28;71;111;120;64;57;437
01054121;Sönnebüll;87;70;14;12,2;111;1;1;17;22;35;17;18;141
01054123;Sollwitt;104;95;8;14,0;119;0;0;10;17;28;28;36;289
01054124;Sprakebüll;80;59;19;10,2;106;1;3;17;25;31;16;13;100
01054125;Stadum;331;281;36;44,4;418;5;6;50;86;99;96;76;597
01054126;Stedesand;291;260;24;37,3;342;0;9;41;76;87;66;63;487
01054128;Struckum;379;344;33;46,9;423;0;8;51;79;128;84;73;556
01054129;Süderende;79;54;23;13,0;109;1;3;17;23;22;15;28;224
01054130;Süderhöft;8;6;1;1,6;12;0;0;2;2;3;1;4;28
01054131;Süderlügum;832;717;87;104,1;1034;13;40;163;226;292;159;141;1077
01054132;Südermarsch;59;49;6;7,4;76;0;3;13;26;9;12;13;95
01054133;Sylt-Ost;-;-;-;-;-;-;-;-;-;-;-;-;-
01054134;Tating;434;337;65;56,1;628;14;36;136;163;127;75;77;603
01054135;Tetenbüll;332;299;24;38,6;391;2;15;58;119;102;49;46;358
01054136;Tinningstedt;80;73;6;11,3;96;0;0;14;26;13;18;25;199
01054138;Tönning;1842;1539;162;232,1;2621;18;120;490;669;652;373;299;2300
01054140;Tümlauer Koog;43;35;1;5,3;79;2;4;17;26;14;9;7;57
01054141;Uelvesbüll;114;100;10;14,8;153;1;4;24;32;39;22;31;238
01054142;Uphusum;146;134;11;17,8;167;0;4;18;45;40;27;33;260
01054143;Utersum;211;178;27;30,8;303;21;13;34;66;56;41;72;613
01054144;Viöl;607;497;83;83,4;836;4;22;143;144;223;153;147;1138
01054145;Vollerwiek;106;89;8;15,7;157;4;20;25;18;32;29;29;238
01054146;Vollstedt;58;47;9;8,0;71;0;2;9;18;17;11;14;107
01054148;Welt;106;89;13;13,8;132;1;5;21;30;31;18;26;201
01054149;Wenningstedt-Braderup (Sylt);875;468;157;160,2;2416;401;659;415;374;281;111;175;1425
01054150;Westerhever;90;84;5;10,1;97;1;2;14;29;19;12;20;162
01054151;Westerland;-;-;-;-;-;-;-;-;-;-;-;-;-
01054152;Wester-Ohrstedt;335;264;52;47,3;463;3;22;44;119;119;78;78;612
01054154;Westre;133;120;12;15,8;150;0;2;20;38;37;28;25;191
01054156;Winnert;252;212;29;34,4;332;1;10;51;78;85;49;58;443
01054157;Wisch;38;30;8;4,4;53;0;5;11;12;15;6;4;31
01054158;Witsum;31;27;2;4,8;40;3;2;2;7;7;7;12;100
01054159;Wittbek;290;248;37;38,0;349;1;5;33;85;103;61;61;458
01054160;Wittdün auf Amrum;222;152;32;36,8;518;48;60;182;96;63;25;44;359
01054161;Witzwort;394;351;33;49,8;481;3;12;74;104;144;65;79;608
01054162;Wobbenbüll;192;155;27;26,3;242;3;6;40;43;57;45;48;369
01054163;Wrixum;242;174;50;33,9;355;7;22;58;104;81;27;56;457
01054164;Wyk auf Föhr;1526;1085;233;229,6;2902;121;508;631;574;426;240;402;3197
01054165;Galmsbüll;231;186;36;33,3;318;2;12;52;86;60;44;62;516
01054166;Emmelsbüll-Horsbüll;415;375;34;51,2;493;3;27;57;120;131;76;79;633
01054167;Enge-Sande;402;350;44;51,3;484;2;7;42;99;170;93;71;560
01054168;Sylt;4987;3120;895;845,1;11826;1142;1897;2723;2500;1770;838;956;7679
01055001;Ahrensbök;2375;1828;398;331,5;3515;19;135;553;925;908;519;456;3575
01055002;Altenkrempe;361;274;73;46,1;474;8;11;68;124;120;80;63;481
01055004;Bad Schwartau;4808;3245;741;881,8;10648;151;747;2405;3232;2228;1066;819;6344
01055006;Beschendorf;185;149;26;24,4;243;2;8;31;60;67;36;39;298
01055007;Bosau;1244;1034;173;159,9;1571;10;49;216;367;438;246;245;1958
01055010;Dahme;541;408;71;83,6;1166;53;170;359;230;152;82;120;1006
01055011;Damlos;220;180;31;28,9;301;4;16;48;54;85;49;45;352
01055012;Eutin;4226;2806;584;728,2;9060;212;532;2034;2751;1731;980;820;6350
01055014;Göhl;361;317;35;46,4;445;2;11;53;102;130;78;69;548
01055015;Gremersdorf;489;411;68;63,2;605;0;20;73;156;151;91;114;916
01055016;Grömitz;2433;1693;405;428,9;5948;419;1152;1545;1130;767;440;495;4007
01055017;Großenbrode;836;691;90;129,7;1805;173;452;353;303;266;128;130;1035
01055018;Grube;382;310;58;48,2;509;7;18;78;107;117;97;85;674
01055020;Harmsdorf;248;202;35;31,7;315;0;7;49;74;83;43;59;456
01055021;Heiligenhafen;2490;1893;227;429,1;5927;620;750;1200;1492;965;473;427;3285
01055022;Heringsdorf (Holstein);467;382;65;59,9;720;69;95;95;180;123;63;95;769
01055023;Kabelhorst;149;123;19;19,2;202;0;9;13;60;50;32;38;292
01055024;Kasseedorf;464;373;65;61,4;631;4;17;81;184;152;99;94;726
01055025;Kellenhusen (Ostsee);471;335;57;87,6;1244;57;314;339;210;161;60;103;863
01055027;Lensahn;1405;1079;206;202,0;2300;24;114;490;595;469;354;254;1951
01055028;Malente;2966;2057;552;469,7;5491;111;427;1148;1435;1129;606;635;4960
01055029;Manhagen;140;126;12;16,8;161;2;4;23;38;38;30;26;214
01055031;Neukirchen;473;391;59;57,9;608;2;38;130;141;113;85;99;805
01055032;Neustadt in Holstein;3752;2737;375;644,1;8185;178;571;2078;2191;1719;829;619;4805
01055033;Oldenburg in Holstein;2686;2079;304;392,0;4672;59;212;986;1312;1043;582;478;3686
01055035;Ratekau;4223;3122;759;626,4;6918;72;266;1030;2080;1861;943;666;5137
01055036;Riepsdorf;353;301;46;44,6;431;0;10;55;103;116;71;76;592
01055037;Schashagen;747;595;114;103,0;1000;5;49;200;253;239;123;131;1064
01055038;Schönwalde am Bungsberg;731;548;140;98,9;1086;8;37;171;275;238;177;180;1403
01055039;Sierksdorf;506;380;60;100,3;1437;150;342;400;219;153;76;97;782
01055040;Stockelsdorf;4574;3487;638;705,3;7609;39;372;1331;1887;2106;1140;734;5639
01055041;Süsel;1577;1260;245;214,4;2110;11;71;294;461;589;348;336;2628
01055042;Timmendorfer Strand;2653;1718;446;480,8;6598;317;1385;1696;1327;911;462;500;4000
01055043;Wangels;776;626;113;99,4;1031;10;45;156;260;245;174;141;1120
01055044;Scharbeutz;3543;2561;575;574,1;7062;514;1122;1529;1371;1144;697;685;5464
01055046;Fehmarn;4994;4066;500;715,7;8299;360;914;1700;1919;1634;834;938;7480
01056001;Appen;1331;1070;160;204,5;2068;9;60;261;522;676;347;193;1478
01056002;Barmstedt;2645;1930;398;403,6;4713;5;265;1094;1213;1167;577;392;3028
01056003;Bevern;155;120;29;23,9;251;8;3;34;73;54;39;40;301
01056004;Bilsen;227;182;37;32,1;311;2;8;29;82;95;50;45;342
01056005;Bönningstedt;1294;1039;170;185,9;1882;7;56;238;439;672;266;204;1561
01056006;Bokel;174;132;33;25,2;262;1;2;33;93;59;40;34;261
01056008;Bokholt-Hanredder;415;354;52;58,0;518;1;8;42;83;165;112;107;835
01056009;Borstel-Hohenraden;678;527;103;100,8;980;10;30;111;227;316;173;113;859
01056010;Brande-Hörnerkirchen;479;377;79;66,0;672;4;9;87;180;194;114;84;629
01056011;Bullenkuhlen;95;78;13;13,7;139;1;2;16;30;37;29;24;184
01056013;Ellerbek;1426;1155;202;204,2;1953;22;66;240;451;557;335;282;2130
01056014;Ellerhoop;430;348;69;59,9;571;9;13;59;116;158;115;101;770
01056015;Elmshorn;10000;6799;1437;1882,5;24219;670;1525;5539;7723;5404;2001;1357;10368
01056016;Groß Nordende;195;141;33;29,1;291;0;7;43;73;82;51;35;262
01056017;Groß Offenseth-Aspern;82;61;13;13,4;143;0;2;17;39;45;20;20;153
01056018;Halstenbek;4618;3774;429;736,5;8106;231;427;1322;2179;2116;1270;561;4249
01056019;Haselau;360;284;67;49,2;469;2;5;67;114;134;72;75;567
01056020;Haseldorf;554;428;103;76,0;748;4;24;116;175;220;130;79;623
01056021;Hasloh;1018;803;140;150,3;1522;3;43;180;421;494;233;148;1118
01056022;Heede;222;178;36;31,2;299;1;3;39;79;80;59;38;302
01056023;Heidgraben;800;662;118;107,8;998;6;22;101;192;329;199;149;1136
01056024;Heist;927;769;120;123,6;1200;3;44;134;264;378;213;164;1248
01056025;Helgoland;547;409;82;57,8;965;67;70;216;269;184;76;83;642
01056026;Hemdingen;433;317;93;65,5;650;1;20;56;164;212;107;90;686
01056027;Hetlingen;446;368;64;61,2;573;2;21;60;118;195;107;70;557
01056028;Holm;928;752;119;133,7;1334;14;43;182;286;414;211;184;1382
01056029;Klein Nordende;1042;856;155;140,8;1303;9;18;112;290;395;269;210;1584
01056030;Klein Offenseth-Sparrieshoop;869;727;106;118,8;1145;7;28;105;260;335;235;175;1316
01056031;Kölln-Reisiek;873;715;111;120,0;1286;24;44;149;299;448;209;113;843
01056032;Kummerfeld;694;612;65;88,6;857;4;26;76;125;368;169;89;663
01056033;Seester;311;262;46;40,7;389;1;3;45;77;101;83;79;595
01056034;Langeln;166;140;22;23,1;204;1;1;27;31;56;51;37;278
01056035;Lutzhorn;217;162;42;32,3;335;3;10;50;79;79;51;63;485
01056036;Moorrege;1390;1160;165;185,8;1836;5;37;223;426;589;331;225;1736
01056037;Neuendeich;164;139;19;23,7;222;1;5;22;43;66;49;36;269
01056038;Osterhorn;114;82;19;17,5;187;11;5;36;50;42;28;15;117
01056039;Pinneberg;8870;6646;899;1661,5;21265;384;1549;5318;6379;4627;1979;1029;7842
01056040;Prisdorf;689;584;80;92,6;878;16;30;75;159;274;189;135;1041
01056041;Quickborn;5464;4394;609;922,2;9684;156;548;1384;2572;2639;1411;974;7440
01056042;Raa-Besenbek;173;145;26;21,3;228;0;6;33;48;65;45;31;235
01056043;Rellingen;4166;3217;532;636,9;6853;88;305;987;2127;1859;872;615;4725
01056044;Schenefeld, Stadt;3894;2793;496;767,4;9464;175;857;1902;3056;2127;834;513;3896
01056045;Seestermühe;336;283;45;43,7;428;2;8;49;102;137;76;54;417
01056046;Seeth-Ekholt;234;185;39;33,1;344;8;5;43;71;87;72;58;429
01056047;Tangstedt;645;508;96;96,0;926;5;39;104;220;302;144;112;852
01056048;Tornesch;3548;2897;402;521,8;5725;24;159;1060;1442;1454;1092;494;3752
01056049;Uetersen;4317;3225;504;712,0;8896;69;723;1924;2639;2066;950;525;4023
01056050;Wedel;6419;4402;735;1301,9;17191;677;1347;4075;5537;3222;1436;897;6876
01056051;Westerhorn;397;308;66;54,6;554;0;12;70;157;162;88;65;483
01057001;Ascheberg (Holstein);881;740;102;112,9;1249;6;29;198;293;359;206;158;1218
01057002;Barmissen;61;43;14;9,7;91;0;4;9;24;27;13;14;109
01057003;Barsbek;185;131;42;25,2;268;6;12;43;53;71;47;36;275
01057004;Behrensdorf (Ostsee);271;208;40;38,5;397;11;32;71;79;89;49;66;530
01057005;Belau;158;124;26;20,3;212;2;7;30;49;65;21;38;300
01057006;Bendfeld;76;62;12;10,7;92;2;0;6;20;30;12;22;182
01057007;Blekendorf;623;494;99;82,9;860;21;43;135;156;216;142;147;1164
01057008;Bönebüttel;635;531;89;82,4;813;2;21;77;167;261;170;115;865
01057009;Bösdorf;460;368;71;61,4;606;2;23;84;124;164;86;123;957
01057010;Boksee;129;86;36;20,3;188;0;0;18;50;53;35;32;253
01057011;Bothkamp;89;67;17;12,4;128;0;2;17;40;25;26;18;136
01057012;Brodersdorf;118;88;27;18,8;160;1;1;14;31;40;32;41;333
01057013;Dannau;201;168;25;26,4;261;4;8;31;58;70;53;37;275
01057015;Dersau;273;195;57;39,5;426;24;17;72;99;78;56;80;639
01057016;Dobersdorf;403;344;50;53,5;500;2;21;66;104;136;88;83;647
01057017;Dörnick;91;70;18;13,9;123;0;2;9;30;28;22;32;264
01057018;Fahren;44;34;6;7,2;70;0;2;13;12;26;4;13;108
01057020;Fiefbergen;173;142;21;23,5;230;4;8;23;50;70;41;34;259
01057021;Giekau;350;285;56;45,9;455;4;11;55;97;119;77;92;706
01057022;Grebin;344;279;56;45,3;439;1;14;69;96;92;84;83;666
01057023;Großbarkau;62;44;13;10,3;95;0;5;8;28;20;13;21;156
01057024;Großharrie;164;135;26;22,9;219;1;3;14;53;61;41;46;355
01057025;Heikendorf;2387;1752;374;395,5;4166;36;239;709;1009;928;697;548;4220
01057026;Helmstorf;108;80;23;15,8;145;3;6;13;35;34;22;32;251
01057027;Högsdorf;145;116;26;17,9;181;1;6;24;55;46;27;22;179
01057028;Höhndorf;146;126;19;19,3;170;0;2;12;47;47;28;34;269
01057029;Hohenfelde;490;416;58;49,5;606;24;61;124;159;126;62;50;403
01057030;Hohwacht (Ostsee);478;360;64;73,1;931;94;162;183;181;142;65;104;870
01057031;Honigsee;112;75;26;17,7;177;0;13;28;39;39;23;35;274
01057032;Kalübbe;183;146;34;23,5;232;0;5;31;47;69;37;43;331
01057033;Kirchbarkau;242;192;40;33,4;319;0;7;31;67;85;66;63;471
01057034;Kirchnüchel;71;56;12;8,5;93;0;0;10;29;33;10;11;85
01057035;Klamp;217;172;34;29,3;289;1;9;33;63;70;59;54;414
01057037;Klein Barkau;89;64;19;13,4;134;2;7;19;24;38;16;28;222
01057038;Kletkamp;41;28;9;5,7;62;0;5;11;19;12;7;8;67
01057039;Köhn;294;258;29;37,2;369;4;25;43;73;105;58;61;480
01057040;Krokau;113;77;22;17,1;187;2;10;27;44;51;33;20;155
01057041;Krummbek;132;107;19;18,4;177;0;11;26;37;44;33;26;210
01057042;Kühren;191;126;53;29,9;282;0;3;40;77;63;52;47;379
01057043;Laboe;1429;984;233;236,7;2958;209;337;533;708;554;358;259;2006
01057044;Lammershagen;111;105;3;12,8;125;0;5;24;27;29;14;26;204
01057045;Lebrade;184;144;33;23,1;260;2;10;40;66;68;38;36;285
01057046;Lehmkuhlen;404;312;70;57,7;567;0;21;82;122;144;99;99;771
01057047;Löptin;78;52;22;13,0;119;0;0;20;26;31;16;26;211
01057048;Lütjenburg;1385;970;192;222,9;2762;52;192;663;719;598;308;230;1804
01057049;Lutterbek;119;92;23;15,6;152;0;1;30;33;44;22;22;171
01057050;Martensrade;284;227;45;38,6;370;0;7;46;95;100;59;63;493
01057051;Mönkeberg;1072;852;137;166,3;1781;16;73;300;420;518;252;202;1563
01057052;Mucheln;193;156;27;25,9;260;1;9;32;67;70;48;33;260
01057053;Nehmten;135;105;23;19,5;183;1;15;24;57;31;21;34;268
01057054;Nettelsee;137;103;24;19,9;192;4;1;22;37;59;35;34;265
01057055;Panker;484;381;73;63,7;705;7;21;89;191;205;97;95;721
01057056;Passade;97;79;18;13,1;123;2;7;8;22;28;32;24;179
01057057;Plön;2146;1450;260;392,5;4974;88;346;1157;1490;966;471;456;3530
01057058;Pohnsdorf;122;82;30;22,0;182;1;6;15;31;41;34;54;430
01057059;Postfeld;149;115;29;23,8;203;0;7;17;43;43;45;48;369
01057060;Prasdorf;137;106;20;19,3;189;5;12;30;28;46;21;47;359
01057062;Preetz;4242;3283;451;653,6;7904;58;474;1613;2267;1813;923;756;5751
01057063;Probsteierhagen;586;442;101;85,9;914;4;44;131;218;253;160;104;803
01057065;Rantzau;109;83;18;14,9;154;0;2;17;30;48;30;27;216
01057066;Rastorf;256;195;53;37,8;350;2;7;34;75;96;77;59;462
01057067;Rathjensdorf;162;125;36;21,3;207;1;4;25;52;47;35;43;349
01057068;Rendswühren;242;202;36;32,0;325;3;8;31;60;94;70;59;447
01057069;Ruhwinkel;295;223;54;41,2;431;7;21;58;93;123;69;60;461
01057070;Schellhorn;500;376;96;68,5;694;6;18;107;157;167;109;130;976
01057071;Schillsdorf;278;214;55;37,8;402;1;7;65;91;113;63;62;486
01057072;Schlesen;159;130;19;21,2;214;0;12;26;65;43;35;33;261
01057073;Schönberg (Holstein);1887;1438;243;289,8;3777;57;744;794;784;751;320;327;2564
01057074;Schönkirchen;1688;1328;192;253,8;3028;18;193;621;821;742;378;255;1933
01057076;Schwartbuck;268;204;52;36,3;365;3;6;54;70;122;69;41;312
01057077;Selent;384;302;60;55,1;567;2;29;77;123;131;90;115;873
01057078;Stakendorf;156;123;26;21,9;211;4;9;28;46;45;33;46;376
01057079;Stein;271;194;60;42,8;433;35;39;59;76;101;60;63;489
01057080;Stolpe;421;341;60;56,7;560;3;18;64;129;174;89;83;638
01057081;Stoltenberg;117;97;18;15,0;140;0;0;16;29;41;19;35;268
01057082;Tröndel;138;111;21;19,4;186;0;17;20;28;54;36;31;238
01057083;Tasdorf;125;100;25;17,4;153;0;0;18;28;47;33;27;205
01057084;Wahlstorf;166;133;29;23,1;218;0;3;31;57;52;40;35;272
01057085;Wankendorf;808;612;127;116,9;1289;9;77;205;313;336;195;154;1181
01057086;Warnau;112;93;17;15,3;142;1;6;16;21;37;29;32;243
01057087;Wendtorf;318;248;50;59,2;833;210;161;121;95;105;75;66;505
01057088;Wisch;415;364;42;42,3;492;7;30;103;129;100;72;51;396
01057089;Wittmoldt;70;58;9;9,2;87;1;1;15;11;21;14;24;184
01057090;Fargau-Pratjau;268;219;46;35,6;336;3;10;40;80;94;47;62;487
01057091;Schwentinental;3789;3105;383;580,2;6303;79;194;931;1733;1770;922;674;5096
01058001;Achterwehr;342;293;38;45,0;415;1;7;55;98;99;69;86;681
01058003;Alt Duvenstedt;568;465;85;71,9;738;2;21;84;182;224;146;79;599
01058004;Altenhof;90;69;15;12,4;125;0;2;18;37;28;25;15;116
01058005;Altenholz;2664;2275;249;437,1;4575;55;224;587;1004;1222;812;671;5061
01058007;Arpsdorf;83;76;7;10,9;97;0;0;10;14;38;16;19;154
01058008;Ascheffel;305;251;45;38,8;375;1;5;58;65;122;70;54;429
01058009;Aukrug;1173;976;162;158,7;1529;8;53;174;350;420;263;261;2039
01058010;Bargstall;47;42;4;6,2;67;1;2;7;17;17;16;7;60
01058011;Bargstedt;228;195;27;28,1;300;1;6;44;74;87;42;46;353
01058012;Barkelsby;479;406;56;61,9;595;3;12;76;105;193;98;108;819
01058013;Beldorf;115;106;7;14,1;134;1;7;13;31;34;24;24;188
01058014;Bendorf;176;168;7;20,8;196;0;2;33;32;61;38;30;232
01058015;Beringstedt;266;241;22;31,6;302;0;6;25;68;84;56;63;495
01058016;Bissee;52;46;4;6,7;62;0;3;4;20;11;7;17;130
01058018;Blumenthal;226;170;46;30,6;298;0;8;45;65;83;56;41;314
01058019;Böhnhusen;96;72;16;13,3;141;0;3;22;41;37;19;19;146
01058021;Bokel;206;175;30;25,9;256;0;5;25;61;77;40;48;366
01058022;Bordesholm;2223;1774;267;327,3;3607;25;214;564;969;909;529;397;3030
01058023;Borgdorf-Seedorf;116;83;29;16,3;164;2;7;24;38;50;21;22;167
01058024;Borgstedt;431;346;69;57,3;572;1;10;59;134;174;103;91;684
01058025;Bornholt;63;52;10;8,3;87;0;2;12;28;23;10;12;91
01058026;Bovenau;359;314;38;45,5;429;0;4;47;110;134;74;60;465
01058027;Brammer;140;129;9;17,6;164;0;3;20;37;49;29;26;203
01058028;Bredenbek;432;361;60;55,4;549;4;10;89;106;156;117;67;506
01058029;Breiholz;456;405;41;55,9;535;2;13;57;137;146;100;80;601
01058030;Brekendorf;357;305;44;41,8;436;3;19;68;101;131;63;51;391
01058031;Brinjahe;48;43;5;5,9;61;0;0;2;18;20;12;9;66
01058032;Brodersby;384;319;41;47,2;577;19;122;96;108;105;60;67;523
01058033;Brügge;315;268;37;40,3;389;1;12;39;84;103;77;73;552
01058034;Büdelsdorf;2755;1941;371;440,8;5424;37;142;1284;1678;1141;703;439;3288
01058035;Bünsdorf;272;245;20;28,0;323;5;25;72;81;66;34;40;303
01058036;Christiansholm;77;61;16;10,1;111;0;1;18;30;27;20;15;119
01058037;Dänischenhagen;1196;1005;137;166,0;1527;4;26;154;295;477;317;254;1942
01058038;Dätgen;180;144;30;25,4;234;0;7;22;61;61;44;39;299
01058039;Damendorf;132;105;18;16,6;174;1;4;24;47;53;26;19;152
01058040;Damp;638;553;54;83,9;1168;65;238;267;331;139;57;71;551
01058042;Dörphof;236;202;17;28,9;322;2;9;77;86;70;32;46;382
01058043;Eckernförde;5333;3592;649;939,1;11887;121;742;2694;3792;2502;1196;840;6447
01058044;Ehndorf;180;142;32;25,1;245;1;2;32;55;69;52;34;257
01058045;Eisendorf;113;107;5;12,7;123;2;2;14;33;40;16;16;121
01058046;Ellerdorf;171;146;19;22,5;209;0;2;13;61;61;35;37;279
