GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01057040;Krokau;0;0;0;0;0
01057041;Krummbek;2;0;0;0;2
01057042;Kühren;0;0;0;0;0
01057043;Laboe;9;2;3;1;3
01057044;Lammershagen;0;0;0;0;0
01057045;Lebrade;3;0;2;0;1
01057046;Lehmkuhlen;1;0;0;1;0
01057047;Löptin;0;0;0;0;0
01057048;Lütjenburg;4;0;-1;0;5
01057049;Lutterbek;0;0;0;0;0
01057050;Martensrade;1;0;0;0;1
01057051;Mönkeberg;8;0;0;1;7
01057052;Mucheln;1;0;0;0;1
01057053;Nehmten;1;0;0;0;1
01057054;Nettelsee;0;0;0;0;0
01057055;Panker;6;1;1;0;4
01057056;Passade;0;0;0;0;0
01057057;Plön;11;1;2;0;8
01057058;Pohnsdorf;0;0;0;0;0
01057059;Postfeld;0;0;1;-1;0
01057060;Prasdorf;0;0;0;0;0
01057062;Preetz;44;1;16;4;23
01057063;Probsteierhagen;40;24;-1;5;12
01057065;Rantzau;0;0;0;0;0
01057066;Rastorf;1;0;0;0;1
01057067;Rathjensdorf;-1;0;0;-1;0
01057068;Rendswühren;1;0;0;0;1
01057069;Ruhwinkel;2;0;0;0;2
01057070;Schellhorn;0;0;0;0;0
01057071;Schillsdorf;0;0;0;0;0
01057072;Schlesen;6;0;-1;1;6
01057073;Schönberg (Holstein);38;0;1;5;32
01057074;Schönkirchen;5;0;0;2;3
01057076;Schwartbuck;0;0;0;0;0
01057077;Selent;2;0;1;0;1
01057078;Stakendorf;0;0;0;0;0
01057079;Stein;2;1;0;0;1
01057080;Stolpe;3;0;0;2;1
01057081;Stoltenberg;0;0;0;0;0
01057082;Tröndel;2;0;0;0;2
01057083;Tasdorf;0;0;0;0;0
01057084;Wahlstorf;0;0;0;0;0
01057085;Wankendorf;11;1;5;3;2
01057086;Warnau;0;0;-1;0;1
