GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01054043;Hattstedtermarsch;326804;310700;8319;67835;16104;15552;552;173986
01054045;Högel;663574;625596;19717;213689;37978;10747;27231;457851
01054046;Hörnum (Sylt);2618875;1431389;139270;200782;1187486;50639;1136847;2467429
01054048;Holm;80280;79639;4375;12122;641;0;0;38668
01054050;Hallig Hooge;1432325;953436;279107;385968;478889;214878;264011;693107
01054052;Horstedt;1160647;898529;27907;176965;262118;0;252118;940773
01054054;Hude;233627;221152;13024;53140;12475;5982;6493;93916
01054055;Humptrup;888206;857899;30179;250796;30307;0;30307;517560
01054056;Husum;41858825;37148383;11334745;10213618;4710442;1875982;2350971;28257686
01054057;Immenstedt;699049;677633;109555;88885;21416;17854;3562;338257
01054059;Joldelund;829120;806144;26766;156685;22976;10511;-8835;481514
01054061;Kampen (Sylt);4822639;3928350;374964;306556;894289;107429;499616;4746377
01054062;Karlum;241398;221334;12196;26498;20064;3759;13805;133125
01054063;Katharinenheerd;190106;188094;6250;54453;2012;2012;0;124013
01054065;Klanxbüll;2306592;1563689;173398;573483;742903;48978;493925;2141992
01054068;Klixbüll;1397716;1182553;127372;367949;215163;76755;128408;920184
01054070;Koldenbüttel;1107424;1043394;82698;138452;64030;16360;47670;747028
01054071;Kolkerheide;43521;43479;3646;3858;42;0;0;8782
01054072;Kotzenbüll;331293;321554;8902;82896;9739;1580;8159;230506
01054073;Ladelund;1953757;1805461;450386;222267;148296;54240;93956;1118288
01054074;Langeneß;1155142;916488;211965;306064;238654;215696;22737;786232
01054075;Langenhorn;4521100;3647974;183123;415954;873126;219630;645352;3390132
01054076;Leck;12746603;9355660;471957;2652850;3390943;729445;2627517;8602251
01054077;Lexgaard;50509;50509;3807;6782;0;0;0;24527
01054078;List;3197147;2930941;284408;526650;266206;139691;68189;2925917
01054079;Löwenstedt;792230;644231;15234;93256;147999;24064;121435;403654
01054080;Lütjenholm;423601;328896;16111;52293;94705;22088;64609;252802
01054083;Midlum;571437;498358;20297;159644;73079;8189;53478;445817
01054084;Mildstedt;5056774;4745028;1298503;989685;311746;72367;239379;2398299
01054085;Nebel;1349503;1223303;61062;125230;126200;86379;4728;1196224
01054086;Neukirchen;1971654;1764228;107447;539525;207426;66780;139646;1014130
01054087;Nieblum;1194357;1030639;89025;92428;163718;0;5702;1162182
01054088;Niebüll;19081166;14957818;2510874;5519315;4123348;292392;3833822;15313409
01054089;Norddorf auf Amrum;1144478;763084;9515;82324;381394;15664;333585;1116149
01054090;Norderfriedrichskoog;6425471;6419721;3802;695299;5750;0;0;3717660
01054091;Nordstrand;3593000;3147999;334223;590286;445001;229465;215536;2030991
01054092;Norstedt;416532;381506;8928;53373;35026;8100;26926;372282
01054093;Ockholm;346820;302406;16979;56539;44414;25000;6686;192531
01054094;Oevenum;682994;576698;17495;161103;106296;19855;77325;522671
01054095;Oldenswort;2236770;2042643;513549;424380;194127;46578;147549;2018233
01054096;Oldersbek;932852;854180;135534;158335;78672;28816;49856;592038
01054097;Olderup;845679;743750;20393;150835;101929;12333;79596;801913
01054098;Oldsum;763700;752455;16385;298555;11245;10245;1000;600851
01054099;Ostenfeld (Husum);2444018;1962997;113919;307248;481021;29933;155527;1922840
01054100;Osterhever;342330;337756;4541;108858;4574;1244;3330;288687
01054101;Oster-Ohrstedt;643347;608758;33630;66353;34589;0;14589;605143
01054103;Pellworm;5400322;4302694;462129;375008;1097628;553967;525119;1174839
01054104;Poppenbüll;301305;295282;4236;50447;6023;976;5047;241749
01054105;Ramstedt;512584;485954;25865;97250;26630;17744;7797;307268
01054106;Rantrum;3828120;2344033;600251;491993;1484087;103074;1381013;2946006
01054107;Rantum (Sylt);-;-;-;-;-;-;-;-
01054108;Reußenköge;4341249;2900613;18981;243508;1440636;53608;325487;4245143
01054109;Risum-Lindholm;4943057;3835010;354360;1154338;1108047;104796;940708;3988200
01054110;Rodenäs;678486;664047;15720;258049;14439;4380;10059;575659
01054113;Sankt Peter-Ording;10165665;7846263;1180510;2558266;2319402;536285;1783117;9375384
01054116;Schwabstedt;2164995;2049812;613342;316574;115183;106732;8451;1216248
01054118;Schwesing;1213540;914258;64741;133286;299282;9101;290181;769509
01054119;Seeth;724249;681972;57919;100163;42277;13353;28924;349628
01054120;Simonsberg;1434329;951873;72794;223237;482456;9024;473432;1287317
01054121;Sönnebüll;343382;306205;13393;49618;37177;0;34817;287461
01054123;Sollwitt;290471;284045;5763;53708;6426;6150;276;158651
01054124;Sprakebüll;1001631;571468;9959;97289;430163;188221;240136;866308
01054125;Stadum;1459607;1351085;141653;519936;108522;29650;78872;1051455
01054126;Stedesand;1108617;879309;236362;134235;229308;0;229308;658415
01054128;Struckum;1285835;1061682;65455;168829;224153;23336;143070;1125739
01054129;Süderende;296782;294778;11148;130251;2004;0;1404;206158
01054130;Süderhöft;18259;18259;2971;2551;0;0;0;2411
01054131;Süderlügum;3198437;2827872;214280;772510;370565;41112;329453;2453090
01054132;Südermarsch;237056;236357;6593;105710;699;0;699;171108
01054133;Sylt-Ost;-;-;-;-;-;-;-;-
01054134;Tating;1652582;1275647;60435;320367;376935;77733;299202;1037626
01054135;Tetenbüll;817122;782692;22913;205323;34430;22092;12338;619839
01054136;Tinningstedt;291327;256706;12050;81788;34621;11057;23564;146186
01054138;Tönning;12654639;11412889;2856567;3984146;1241750;678050;563700;5642447
01054140;Tümlauer Koog;105841;105841;3857;25839;0;0;0;73780
01054141;Uelvesbüll;448542;412152;19633;76510;36390;10618;25772;404637
01054142;Uphusum;467849;437808;35645;124871;30041;1278;28763;304048
01054143;Utersum;1013512;834144;113952;190833;179368;58215;87153;912108
01054144;Viöl;3088296;2546741;180743;352392;541555;269525;125420;2130114
01054145;Vollerwiek;668975;303908;20537;71079;365067;0;365067;651590
01054146;Vollstedt;226675;226675;9366;26443;0;0;0;220420
01054148;Welt;328742;322339;6434;73282;6403;3885;2518;239456
01054149;Wenningstedt-Braderup (Sylt);5306043;4253519;942952;602388;1052524;57809;485878;5107928
01054150;Westerhever;245974;234156;19304;95312;11818;0;11818;195852
01054151;Westerland;-;-;-;-;-;-;-;-
01054152;Wester-Ohrstedt;1619348;1058794;60689;137832;560554;3616;536938;1293983
01054154;Westre;409259;391074;15228;62111;18185;4639;13546;295714
01054156;Winnert;1132876;798645;62777;138376;334231;40793;254548;781676
01054157;Wisch;121305;121305;3528;12688;0;0;0;73916
01054158;Witsum;81494;81494;6003;29803;0;0;0;78064
01054159;Wittbek;1276666;827273;62980;77437;449393;28342;381211;821701
01054160;Wittdün auf Amrum;890565;804851;12384;60450;85714;56652;7810;468922
01054161;Witzwort;1556394;1469215;72988;286673;87179;38116;48658;1113345
01054162;Wobbenbüll;534631;503130;17960;81225;31501;12293;19208;310632
01054163;Wrixum;942925;834804;54838;216896;108121;14464;93657;689632
01054164;Wyk auf Föhr;9985299;7045911;566246;1648487;2939388;813510;2100878;8409036
01054165;Galmsbüll;1524312;1196498;26264;185311;327814;0;327814;1466234
01054166;Emmelsbüll-Horsbüll;1322521;1240951;90471;270417;81570;35939;45631;1199249
01054167;Enge-Sande;1643077;1468685;344505;321043;174392;26704;147688;1162001
01054168;Sylt;58989386;46652420;11906562;20201258;12336966;207733;11214181;53827785
01055001;Ahrensbök;12352391;9815559;2630078;2250877;2536832;651172;1770496;8265936
01055002;Altenkrempe;1619119;1204436;31065;278291;414683;0;414683;1161505
01055004;Bad Schwartau;25954539;24714674;6176207;8412256;1239865;15008;1113956;19339862
01055006;Beschendorf;565487;563043;11778;180290;2444;0;2444;398539
01055007;Bosau;6413911;6227597;2439733;1263586;186314;36151;142151;3999323
01055010;Dahme;2555758;1656182;61756;399183;899576;73537;826039;2239372
01055011;Damlos;573915;572452;29701;74704;1463;0;1463;328969
01055012;Eutin;29687797;25089691;5760476;7886792;4598106;855103;3154934;21747168
01055014;Göhl;1709984;1498938;316504;192900;211046;80984;47187;1274325
01055015;Gremersdorf;2283622;1758002;404659;260620;525620;81196;228817;1977416
01055016;Grömitz;13050664;10790024;3812788;2398891;2260640;223690;1957750;9454810
01055017;Großenbrode;3705383;3335847;570664;526244;369536;178500;86260;2742353
01055018;Grube;1800231;1490546;374282;304490;309685;44943;264742;981318
01055020;Harmsdorf;695986;695984;24898;170071;2;0;2;503317
01055021;Heiligenhafen;18782557;13640888;2250891;6533888;5141669;867212;3966957;14609277
01055022;Heringsdorf (Holstein);2039509;1431826;321620;326261;607683;307364;105108;1690162
01055023;Kabelhorst;385496;385489;22159;67950;7;0;7;201129
01055024;Kasseedorf;2539303;1824644;363722;283783;714659;40179;674480;1467038
01055025;Kellenhusen (Ostsee);2679230;1870633;266160;479244;808597;45333;763264;2314884
01055027;Lensahn;7994282;7694844;2792415;1101813;299438;159854;139584;4791825
01055028;Malente;13626940;12675045;3605050;1944859;951895;395309;542688;9538833
01055029;Manhagen;308815;308815;15843;28496;0;0;0;142695
01055031;Neukirchen;1520713;1256366;195391;185331;264347;172619;70812;1231863
01055032;Neustadt in Holstein;24237768;20764459;8767562;4202742;3473309;722309;2656000;16212160
01055033;Oldenburg in Holstein;17247529;14151264;2906806;5835192;3096265;787293;2308079;12513114
01055035;Ratekau;19371125;16334212;4746671;3543917;3036913;235300;1924224;13011707
01055036;Riepsdorf;919625;900256;21038;127084;19369;0;19369;554885
01055037;Schashagen;2856882;2747483;543160;408548;109399;9101;100298;2071685
01055038;Schönwalde am Bungsberg;3050754;2516362;136603;302645;534392;140431;367088;1592701
01055039;Sierksdorf;2522832;2096815;434843;241043;426017;162678;263339;2398237
01055040;Stockelsdorf;24365432;18678484;4321550;5703397;5686948;281355;5394741;19859293
01055041;Süsel;7027393;5441147;331310;1188114;1586246;356756;1228068;4580843
01055042;Timmendorfer Strand;23878028;16431022;5841598;3703411;7447006;250000;5600379;20489551
01055043;Wangels;4188255;3362003;482119;541525;826252;358762;395280;3356772
01055044;Scharbeutz;22054197;15270257;4730393;3659605;6783940;1242253;3217710;17577719
01055046;Fehmarn;20273627;17268079;5075983;5113986;3005548;410593;2027668;16837998
01056001;Appen;9048441;7270675;649374;1999761;1777766;261768;870279;7632622
01056002;Barmstedt;19840430;17160294;5084604;3351771;2680136;678203;1493489;13242366
01056003;Bevern;685411;665115;20600;53636;20296;18750;1546;536338
01056004;Bilsen;1580404;897762;41729;139645;682642;46459;636183;1451386
01056005;Bönningstedt;6658009;5952426;587260;1012675;705583;213141;438590;5928109
01056006;Bokel;704022;644170;16314;71330;59852;2900;56952;567920
01056008;Bokholt-Hanredder;1406031;1378735;114721;233450;27296;23876;3420;1085319
01056009;Borstel-Hohenraden;4220265;3527327;235889;1343343;692938;107796;585142;3676891
01056010;Brande-Hörnerkirchen;1790905;1738639;22189;252632;52266;2500;49766;1323197
01056011;Bullenkuhlen;353990;353990;7416;23350;0;0;0;249619
01056013;Ellerbek;8584546;6299501;451267;1552487;2285045;20234;2265581;8289579
01056014;Ellerhoop;1632125;1572709;76767;229169;59416;1827;57589;1410933
01056015;Elmshorn;96356048;75396817;24124105;13852438;20959231;4797772;11491203;79241355
01056016;Groß Nordende;965191;841065;50504;106870;124126;6500;159;730112
01056017;Groß Offenseth-Aspern;420364;396364;11802;49306;24000;0;24000;239722
01056018;Halstenbek;28568665;23321640;6092266;7180307;5247025;209459;4693760;24805068
01056019;Haselau;1141150;1057163;47310;153242;83987;23725;60262;885250
01056020;Haseldorf;2027829;1737675;44381;295151;290154;38889;251265;1618811
01056021;Hasloh;7392389;4196341;394009;513215;3196048;25084;3143855;6624773
01056022;Heede;1072953;936985;13056;177941;135968;0;135968;977133
01056023;Heidgraben;5592497;3666316;1060933;655957;1926181;123212;1380937;4502994
01056024;Heist;3245567;2911442;379124;366958;334125;123446;187640;2610947
01056025;Helgoland;18308643;8107202;2365561;2030981;10201441;700698;9500743;10339406
01056026;Hemdingen;1914759;1733504;54861;102093;181255;732;180523;1555275
01056027;Hetlingen;1605407;1419592;79869;375628;185815;65016;114814;1249463
01056028;Holm;4949057;4076783;407899;674141;872274;93686;702105;4597919
01056029;Klein Nordende;4372213;3463057;194853;489484;909156;51340;757116;3658663
01056030;Klein Offenseth-Sparrieshoop;5301161;3895487;308398;512954;1405674;112417;1274662;4611150
01056031;Kölln-Reisiek;6444965;3448474;190098;524135;2996491;0;2996491;5263315
01056032;Kummerfeld;3959127;2631697;187059;414363;1327430;5320;1291398;3643827
01056033;Seester;1601949;1049302;22010;121329;552647;0;549397;949387
01056034;Langeln;1083639;595822;13498;83822;487817;0;487817;987003
01056035;Lutzhorn;1138073;891055;44506;132063;247018;10369;236649;924909
01056036;Moorrege;4975932;4779333;311009;820031;196599;13734;118254;4312527
01056037;Neuendeich;711547;577205;27244;113340;134342;0;13156;606076
01056038;Osterhorn;425612;414576;7734;17973;11036;11000;36;305164
01056039;Pinneberg;66913286;53765066;11398540;16570972;13148220;9403175;3269217;54064896
01056040;Prisdorf;4884964;2667087;211177;389963;2217877;42065;2124922;4469340
01056041;Quickborn;59393445;41192113;11256961;8008297;18201332;12564807;4163875;44103246
01056042;Raa-Besenbek;726051;708385;14785;115659;17666;0;17666;689023
01056043;Rellingen;22944021;20075297;4711267;4251233;2868724;1108979;1626511;20903703
01056044;Schenefeld, Stadt;25790200;22877234;5480931;5531087;2912966;206744;2635637;22106242
01056045;Seestermühe;1202141;1168122;56635;127706;34019;0;32769;1062024
01056046;Seeth-Ekholt;1378142;1102587;50508;180966;275555;4550;271005;1155274
01056047;Tangstedt;4132815;2468786;242048;385466;1664029;0;1491616;3706529
01056048;Tornesch;28226325;21086106;5453634;4196726;7140219;642746;2158098;25467615
01056049;Uetersen;31510788;29031470;9230159;7908595;2479318;457839;1982072;22756783
01056050;Wedel;80394303;54125834;15482613;12467557;26268469;1534154;4900072;69134989
01056051;Westerhorn;1316480;1309296;25560;154590;7184;0;7184;925913
01057001;Ascheberg (Holstein);4100383;3364507;713703;373553;735876;72097;309333;2708049
01057002;Barmissen;216795;146003;5959;22603;70792;1949;59244;176463
01057003;Barsbek;567012;515418;21586;58088;51594;0;51594;347964
01057004;Behrensdorf (Ostsee);876890;667046;127402;129677;209844;1013;208831;666364
01057005;Belau;388963;343904;6907;60898;45059;11317;31578;291852
01057006;Bendfeld;289569;281481;13345;45981;8088;8088;0;197527
01057007;Blekendorf;2429262;2175303;438538;308433;253959;94612;73494;1535090
01057008;Bönebüttel;2256835;1963426;116742;387981;293409;31029;212380;1606684
01057009;Bösdorf;2497973;1749215;107495;267922;748758;95618;572778;1734353
01057010;Boksee;488372;451741;15951;67424;36631;12337;4106;318175
01057011;Bothkamp;284407;262190;12955;40812;22217;5798;10091;175208
01057012;Brodersdorf;446487;374674;16704;55815;71813;3334;65143;336384
01057013;Dannau;919312;732989;33356;180672;186323;42105;118561;491579
01057015;Dersau;1221680;1084605;185863;141128;137075;72947;3844;848801
01057016;Dobersdorf;1392671;1184836;126467;194671;207835;36517;159614;970255
01057017;Dörnick;248872;246709;13906;27432;2163;0;2163;195352
01057018;Fahren;193973;157910;5768;45188;36063;2500;8578;156757
01057020;Fiefbergen;726460;581048;22186;84279;145412;12672;65498;563999
01057021;Giekau;1346392;1200182;236531;225564;146210;42876;92334;799278
01057022;Grebin;1136715;1073828;212520;148797;62887;2280;57472;827106
01057023;Großbarkau;570178;209455;4624;31859;360723;103541;250604;503136
01057024;Großharrie;705906;474287;26529;88740;231619;0;231619;488303
01057025;Heikendorf;11161849;10600252;1281412;3292352;561597;145506;364288;7889534
01057026;Helmstorf;351259;300019;11112;28737;51240;10385;32855;237235
01057027;Högsdorf;513250;409976;14677;80179;103274;0;74891;329061
01057028;Höhndorf;412922;389701;17646;38750;23221;5467;2738;280701
01057029;Hohenfelde;2426151;1122930;194694;243170;1303221;0;1275841;1741860
01057030;Hohwacht (Ostsee);2043106;1203212;169127;214611;839894;55467;580000;1762294
01057031;Honigsee;479992;442503;15434;75227;37489;17183;5982;353905
01057032;Kalübbe;801345;530120;17788;60062;271225;20659;227727;453276
01057033;Kirchbarkau;1018213;957462;22176;120109;60751;0;13540;739713
01057034;Kirchnüchel;164351;151260;8442;19336;13091;0;13091;76409
01057035;Klamp;1104329;593744;49477;63629;510585;31042;438617;120260
01057037;Klein Barkau;269314;240470;7514;43041;28844;11658;2600;207622
01057038;Kletkamp;148460;109315;5492;17976;39145;0;0;138992
01057039;Köhn;1052182;863010;125714;85825;189172;2399;185606;760344
01057040;Krokau;408372;396268;13741;24440;12104;4000;8104;252024
01057041;Krummbek;593140;459707;16918;56735;133433;10774;18087;469360
01057042;Kühren;922388;680467;13870;159752;241921;21499;208298;703800
01057043;Laboe;6705808;5874619;519110;572665;831189;131038;647324;4624203
01057044;Lammershagen;278432;270137;12758;41239;8295;2829;4300;172681
01057045;Lebrade;667993;569249;22956;92276;98744;21390;29396;439621
01057046;Lehmkuhlen;1748088;1524634;202256;249473;223454;56258;114787;1094248
01057047;Löptin;322455;279433;6824;57358;43022;24803;9084;251142
01057048;Lütjenburg;8707415;7252595;1496380;1316778;1454820;133345;276428;6729814
01057049;Lutterbek;416600;382025;16930;37671;34575;6723;27852;325304
01057050;Martensrade;1319547;992059;25537;135622;327488;312912;3776;950632
01057051;Mönkeberg;4990224;4677168;431541;1271686;313056;46300;246635;3632984
01057052;Mucheln;575365;532504;16404;50728;42861;12859;0;359542
01057053;Nehmten;367845;355450;90096;57578;12395;1250;11145;279428
01057054;Nettelsee;717288;423172;12548;52693;294116;259829;9695;555897
01057055;Panker;1812689;1665511;267970;244930;147178;105823;7204;1110811
01057056;Passade;527054;388986;20565;56078;138068;3974;54016;395678
01057057;Plön;17590445;14673457;4693643;3644621;2916988;1500118;781870;10598298
01057058;Pohnsdorf;482821;449402;20666;59377;33419;2114;31305;358042
01057059;Postfeld;553202;499826;95764;57391;53376;9097;15589;413752
01057060;Prasdorf;525938;449346;12860;54255;76592;14798;18406;347387
01057062;Preetz;23281631;20227087;5905957;3501870;3054544;965040;1888351;15003484
01057063;Probsteierhagen;2663661;2326258;216088;358562;337403;128016;198990;1947286
01057065;Rantzau;352939;326028;13095;26695;26911;15760;4052;216770
01057066;Rastorf;1081138;837957;19648;134144;243181;21779;188115;868721
01057067;Rathjensdorf;623081;593230;126843;62387;29851;18502;4114;366733
01057068;Rendswühren;715489;657743;29882;113664;57746;0;51586;368644
01057069;Ruhwinkel;1017759;891332;17377;152288;126427;0;125673;686682
01057070;Schellhorn;1886251;1744209;24594;210805;142042;56244;69957;1171419
01057071;Schillsdorf;945183;736117;33453;137018;209066;0;204066;420110
01057072;Schlesen;1011903;560805;34204;114300;451098;10571;417621;830380
01057073;Schönberg (Holstein);9530542;8435944;1360288;766755;1094598;288325;803398;6881152
01057074;Schönkirchen;13501704;13155731;1150222;2520196;345973;0;267595;11375540
01057076;Schwartbuck;982809;885347;116100;75918;97462;22214;59697;617419
01057077;Selent;1988697;1739716;130953;228490;248981;155184;93797;1266123
01057078;Stakendorf;581063;518121;11023;104386;62942;26226;19001;503543
01057079;Stein;1358958;1185168;331151;233843;173790;60535;107004;1120638
01057080;Stolpe;1268905;1139715;19703;128125;129190;35960;92412;811491
01057081;Stoltenberg;406017;308889;18150;47095;97128;3096;13368;322513
01057082;Tröndel;1055965;397004;24246;58275;658961;1359;647279;626581
01057083;Tasdorf;348788;279553;7862;43387;69235;0;69235;277993
01057084;Wahlstorf;523386;456375;14682;87082;67011;51094;11061;342914
01057085;Wankendorf;3285737;2672870;29308;313459;612867;173435;439432;1681242
01057086;Warnau;460923;403464;24123;52635;57459;23966;12436;339881
01057087;Wendtorf;1923627;1701263;654843;257040;222364;33208;86692;1287316
01057088;Wisch;951187;799182;116371;132420;152005;0;82361;714465
01057089;Wittmoldt;303072;182550;5821;23756;120522;2627;117704;248016
01057090;Fargau-Pratjau;738677;702976;15890;60861;35701;19467;1166;492564
01057091;Schwentinental;23681512;19682990;5786204;5169742;3998522;433386;3084678;20128874
01058001;Achterwehr;1239403;1018760;338664;139279;220643;18902;160314;946315
01058003;Alt Duvenstedt;2403658;1977612;404637;356070;426046;138014;288032;1370298
01058004;Altenhof;378894;307661;12839;122439;71233;0;6481;313339
01058005;Altenholz;15191406;14101603;3830098;4572649;1089803;450377;639426;10635029
01058007;Arpsdorf;261131;249462;8733;36845;11669;0;11669;146282
01058008;Ascheffel;1589256;1101003;75269;184058;488253;323299;148505;1180343
01058009;Aukrug;5593279;4177096;1269569;690041;1416183;396028;791568;3606263
01058010;Bargstall;167057;156957;6007;58813;10100;0;0;114605
01058011;Bargstedt;1070738;918080;216263;222346;152658;15761;93953;560055
01058012;Barkelsby;2600025;1913956;543811;482882;686069;0;572264;1489551
01058013;Beldorf;557816;264202;9071;57233;293614;42261;15067;495950
01058014;Bendorf;600455;445450;42247;99058;155005;8400;126035;426484
01058015;Beringstedt;1020974;810971;143768;204063;210003;0;135903;725328
01058016;Bissee;441369;180619;4905;20226;260750;20451;238172;326971
01058018;Blumenthal;990152;758577;147488;150852;231575;24021;179090;768004
01058019;Böhnhusen;546127;329916;7829;71488;216211;0;216211;379960
01058021;Bokel;817146;691586;142573;124518;125560;19441;25101;459071
01058022;Bordesholm;12496292;8980012;1918486;1016619;3516280;1180098;2073853;10178748
01058023;Borgdorf-Seedorf;514929;458603;22363;117891;56326;5700;33991;372861
01058024;Borgstedt;2080528;1828923;108726;337138;251605;15682;222304;1772924
01058025;Bornholt;131742;117134;5684;16353;14608;0;6062;43602
01058026;Bovenau;1574928;1140960;43937;319017;433968;24440;409528;1475542
01058027;Brammer;561405;412522;15004;111048;148883;0;12835;460718
01058028;Bredenbek;2090460;1345113;57685;333059;745347;0;570327;1267172
01058029;Breiholz;1528903;1320226;305400;156708;208677;180031;28646;1019497
01058030;Brekendorf;1341176;1174634;201449;190100;166542;74508;12131;872257
01058031;Brinjahe;106207;106207;11071;23580;0;0;0;68645
01058032;Brodersby;1161234;988136;114559;306735;173098;49847;119144;925160
01058033;Brügge;1442463;1294833;333723;128135;147630;28145;96409;838765
01058034;Büdelsdorf;16196408;14707111;6228204;3372385;1489297;207862;1254087;14458027
01058035;Bünsdorf;805090;714243;62938;125699;90847;4924;61762;641457
01058036;Christiansholm;258757;202204;10119;36134;56553;4760;48750;154316
01058037;Dänischenhagen;6000923;5380102;129727;1333482;620821;150915;469906;4959918
01058038;Dätgen;1434350;702810;169339;164366;731540;9183;551139;1236560
01058039;Damendorf;635891;466890;22682;77238;169001;30760;128427;387738
01058040;Damp;19105338;2764374;194354;687492;16340964;5004693;427164;16242188
01058042;Dörphof;672416;650049;13207;157805;22367;0;3566;351476
01058043;Eckernförde;40252222;35360917;14513407;10918109;4891305;891071;3888098;27457171
01058044;Ehndorf;762947;678930;21680;137283;84017;22345;48972;621358
01058045;Eisendorf;504598;459359;13924;46600;45239;0;5739;487728
01058046;Ellerdorf;531581;458178;18897;67103;73403;0;20281;352600
01058047;Elsdorf-Westermühlen;2009004;1661149;410765;202760;347855;319195;28660;1204927
01058048;Embühren;194599;190599;7074;28362;4000;4000;0;79122
01058049;Emkendorf;1899068;1526954;149756;332331;372114;47402;112069;1254633
01058050;Felde;4131722;2492068;1001262;442643;1639654;80076;1558461;2430096
01058051;Felm;1612231;1483616;332435;398056;128615;29945;98670;1179843
01058052;Fleckeby;2649535;2060369;270863;430058;589166;16941;572225;2125203
01058053;Flintbek;13524715;11290958;3709551;2423107;2233757;219474;1984283;9056452
01058054;Fockbek;11766088;10069987;3658280;2557541;1696101;106488;710791;7060259
01058055;Friedrichsgraben;43510;43510;3368;6738;0;0;0;15010
01058056;Friedrichsholm;404459;381061;71776;48513;23398;10987;9411;183960
01058057;Gammelby;801242;607022;32532;187229;194220;0;179631;595020
01058058;Gettorf;11672056;10030453;2817473;1848171;1641603;222977;1298626;8847407
