GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01054002;Ahrenshöft;609751;533188;24942;78853;76563;0;75596;546022
01054003;Ahrenviöl;633653;600543;80304;92981;33110;12800;20310;558532
01054004;Ahrenviölfeld;274585;239931;5685;35653;34654;0;34654;239254
01054005;Alkersum;912030;598513;34481;187446;313517;0;6900;550685
01054006;Almdorf;831289;636627;17782;101253;194662;57811;117895;643757
01054007;Arlewatt;457319;318992;12396;68822;138327;3191;135136;286468
01054009;Aventoft;695902;566517;43634;134132;129385;23739;105646;580067
01054010;Bargum;1442900;724389;17578;160121;718511;353113;359098;1170513
01054011;Behrendorf;746262;623538;10834;86570;122724;32000;90724;664566
01054012;Bohmstedt;760050;740485;30668;98192;19565;0;16784;543655
01054013;Bondelum;195357;195357;3851;16923;0;0;0;113743
01054014;Bordelum;3498534;3042954;372744;758830;455580;177751;277138;2735604
01054015;Borgsum;581499;508655;16164;187050;72844;16068;47660;443316
01054016;Bosbüll;569628;394373;11371;70275;175255;6836;167919;553715
01054017;Braderup;848202;706625;51408;130275;141577;0;141577;757213
01054018;Bramstedtlund;208913;205085;8470;33974;3828;3878;0;110441
01054019;Bredstedt;8644605;6209028;775409;860313;2435577;558310;1823720;5026434
01054020;Breklum;3495761;3083904;723138;447609;411857;64040;299296;2350852
01054022;Dagebüll;1370682;1081272;133342;292986;289410;22734;266176;1224607
01054023;Drage;831011;777300;37953;116650;53711;3568;50143;792245
01054024;Drelsdorf;1522268;1331766;56253;259841;190502;8436;182066;1012035
01054025;Dunsum;108760;105176;4414;48467;3584;0;3584;80752
01054026;Elisabeth-Sophien-Koog;67116;61184;4390;13229;5932;0;5932;33417
01054027;Ellhöft;182518;135094;7574;21222;47424;0;46931;175073
01054032;Fresendelf;93100;93100;3783;6141;0;0;0;40172
01054033;Friedrichstadt;4615407;3847207;855329;765615;768200;341780;336667;1905121
01054034;Friedrich-Wilhelm-Lübke-Koog;1423381;666284;16305;212538;757097;5537;751560;1394095
01054035;Garding, Kirchspiel;477648;472171;7727;57413;5477;2120;3357;309533
01054036;Garding;4458070;3513829;514760;501578;944241;628983;315258;2086136
01054037;Goldebek;422000;406000;14801;55160;16000;1028;8672;230121
01054038;Goldelund;472265;435635;20094;67429;36630;7007;23323;315822
01054039;Gröde;97651;56185;5369;23799;41466;39087;2158;97038
01054040;Grothusenkoog;41676;41676;1219;3051;0;0;0;40137
01054041;Haselund;1088532;1009732;67987;205141;78800;35545;10189;702136
01054042;Hattstedt;4486221;3340645;888001;378280;1145576;54963;1040136;2936791
