GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01056004;Bilsen;232;194;303;265;-71
01056005;Bönningstedt;1248;1075;1736;1565;-490
01056006;Bokel;69;55;217;203;-148
01056008;Bokholt-Hanredder;250;230;420;400;-170
01056009;Borstel-Hohenraden;246;188;942;884;-696
01056010;Brande-Hörnerkirchen;211;153;624;566;-413
01056011;Bullenkuhlen;41;19;163;141;-122
01056013;Ellerbek;1190;1068;1459;1338;-270
01056014;Ellerhoop;347;281;566;500;-219
01056015;Elmshorn;18226;11381;19380;12542;-1161
01056016;Groß Nordende;15;7;286;278;-271
01056017;Groß Offenseth-Aspern;93;77;180;164;-87
01056018;Halstenbek;3125;2638;6396;5909;-3271
01056019;Haselau;165;125;431;391;-266
01056020;Haseldorf;179;111;696;628;-517
01056021;Hasloh;343;269;1347;1273;-1004
01056022;Heede;133;113;275;255;-142
01056023;Heidgraben;282;212;1020;950;-738
01056024;Heist;440;368;1130;1058;-690
01056025;Helgoland;879;238;780;141;97
01056026;Hemdingen;245;190;687;632;-442
01056027;Hetlingen;337;288;551;502;-214
01056028;Holm;878;716;1229;1068;-352
01056029;Klein Nordende;247;203;1144;1100;-897
01056030;Klein Offenseth-Sparrieshoop;534;427;1170;1063;-636
01056031;Kölln-Reisiek;515;466;1194;1145;-679
01056032;Kummerfeld;656;604;843;791;-187
01056033;Seester;64;49;345;330;-281
01056034;Langeln;59;50;226;217;-167
01056035;Lutzhorn;99;70;301;272;-202
01056036;Moorrege;732;605;1674;1547;-942
01056037;Neuendeich;54;35;181;162;-127
01056038;Osterhorn;178;145;158;125;20
01056039;Pinneberg;11238;8405;16306;13476;-5071
01056040;Prisdorf;590;511;947;869;-358
01056041;Quickborn;5403;4250;7891;6740;-2490
01056042;Raa-Besenbek;33;28;213;208;-180
01056043;Rellingen;6186;5547;5326;4692;855
01056044;Schenefeld, Stadt;6204;5200;7546;6543;-1343
01056045;Seestermühe;145;102;366;323;-221
01056046;Seeth-Ekholt;77;57;351;330;-273
01056047;Tangstedt;461;343;928;810;-467
01056048;Tornesch;4279;3474;5248;4444;-970
01056049;Uetersen;4755;3234;6937;5415;-2181
01056050;Wedel;10058;6501;12081;8529;-2028
01056051;Westerhorn;299;242;536;478;-236
01057001;Ascheberg (Holstein);541;380;1013;852;-472
01057002;Barmissen;.;.;63;.;.
01057003;Barsbek;37;29;202;194;-165
01057004;Behrensdorf (Ostsee);44;35;193;184;-149
01057005;Belau;.;.;136;132;.
01057006;Bendfeld;.;.;83;.;.
01057007;Blekendorf;285;175;567;457;-282
01057008;Bönebüttel;125;93;824;792;-699
01057009;Bösdorf;96;81;443;428;-347
01057010;Boksee;27;19;192;184;-165
01057011;Bothkamp;18;15;116;113;-98
01057012;Brodersdorf;10;.;158;.;-148
01057013;Dannau;53;44;216;207;-163
01057015;Dersau;56;40;285;269;-229
01057016;Dobersdorf;66;44;401;379;-335
01057017;Dörnick;.;.;63;.;.
01057018;Fahren;-;-;41;41;-41
01057020;Fiefbergen;67;63;218;214;-151
01057021;Giekau;73;45;362;334;-289
01057022;Grebin;88;61;324;297;-236
01057023;Großbarkau;94;89;78;73;16
01057024;Großharrie;79;68;176;165;-97
01057025;Heikendorf;1172;875;2344;2047;-1172
01057026;Helmstorf;.;.;102;94;.
01057027;Högsdorf;.;.;160;155;.
01057028;Höhndorf;.;.;138;134;.
01057029;Hohenfelde;119;85;321;287;-202
01057030;Hohwacht (Ostsee);238;168;216;146;22
01057031;Honigsee;29;15;180;166;-151
01057032;Kalübbe;92;74;213;195;-121
01057033;Kirchbarkau;76;62;271;257;-195
01057034;Kirchnüchel;.;.;61;.;.
01057035;Klamp;5;.;258;.;.
01057037;Klein Barkau;26;23;88;85;-62
01057038;Kletkamp;.;.;34;27;.
01057039;Köhn;58;36;276;254;-218
01057040;Krokau;7;4;168;165;-161
01057041;Krummbek;63;50;147;134;-84
01057042;Kühren;66;50;266;250;-200
01057043;Laboe;842;579;1447;1184;-605
01057044;Lammershagen;.;.;89;85;.
01057045;Lebrade;60;36;220;196;-160
01057046;Lehmkuhlen;72;53;521;502;-449
01057047;Löptin;19;11;116;108;-97
01057048;Lütjenburg;1549;1010;1633;1094;-84
01057049;Lutterbek;.;.;136;136;.
01057050;Martensrade;176;108;378;310;-202
01057051;Mönkeberg;285;227;1263;1205;-978
01057052;Mucheln;.;.;217;208;.
01057053;Nehmten;101;87;84;69;18
01057054;Nettelsee;20;14;186;180;-166
01057055;Panker;175;142;478;445;-303
01057056;Passade;54;50;97;93;-43
01057057;Plön;3240;2340;2630;1730;610
01057058;Pohnsdorf;51;41;164;154;-113
01057059;Postfeld;14;10;148;144;-134
01057060;Prasdorf;7;.;164;.;-157
