GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054023;Drage;206;54;13;31;30;3;18;38;4;15;-
01054024;Drelsdorf;476;61;62;136;59;29;17;39;47;23;3
01054025;Dunsum;46;13;9;12;3;-;-;-;3;3;3
01054026;Elisabeth-Sophien-Koog;22;7;3;6;3;-;-;3;-;-;-
01054027;Ellhöft;41;18;7;13;-;3;-;-;-;-;-
01054032;Fresendelf;53;11;12;17;9;-;4;-;-;-;-
01054033;Friedrichstadt;976;322;80;335;57;17;52;47;23;31;12
01054034;Friedrich-Wilhelm-Lübke-Koog;42;-;-;39;-;-;-;-;-;3;-
01054035;Garding, Kirchspiel;130;46;3;36;-;3;3;17;15;4;3
01054036;Garding;971;181;92;298;150;30;86;75;35;17;7
01054037;Goldebek;108;26;6;34;8;3;6;12;13;-;-
01054038;Goldelund;131;23;3;70;14;3;-;3;3;6;6
01054039;Gröde;4;-;-;4;-;-;-;-;-;-;-
01054040;Grothusenkoog;15;-;-;12;-;-;-;-;-;3;-
01054041;Haselund;305;46;18;76;48;10;21;51;16;16;3
01054042;Hattstedt;914;74;52;305;93;48;111;126;59;33;13
01054043;Hattstedtermarsch;100;33;9;28;10;-;7;10;3;-;-
01054045;Högel;151;33;22;47;3;-;26;14;3;3;-
01054046;Hörnum (Sylt);451;6;178;176;34;-;6;30;3;3;15
01054048;Holm;39;12;6;12;3;-;3;-;3;-;-
01054050;Hallig Hooge;50;9;-;41;-;-;-;-;-;-;-
01054052;Horstedt;235;25;12;79;27;9;9;41;20;3;10
01054054;Hude;91;36;7;29;-;-;6;10;-;-;3
01054055;Humptrup;301;52;35;109;40;8;13;26;12;6;-
01054056;Husum;6617;987;887;3113;374;164;268;363;203;156;102
01054057;Immenstedt;223;41;25;62;27;-;11;34;16;3;4
01054059;Joldelund;279;36;21;76;30;14;18;37;13;30;4
01054061;Kampen (Sylt);615;18;54;239;87;48;30;39;35;44;21
01054062;Karlum;77;18;10;36;4;-;3;3;-;3;-
01054063;Katharinenheerd;83;16;3;36;12;9;-;4;3;-;-
01054065;Klanxbüll;351;16;47;126;37;10;27;55;18;9;6
01054068;Klixbüll;343;72;16;133;22;3;30;35;21;7;4
01054070;Koldenbüttel;340;65;20;109;38;-;23;56;19;10;-
01054071;Kolkerheide;24;3;6;12;-;-;-;-;-;3;-
01054072;Kotzenbüll;83;28;6;28;6;3;9;0;3;-;-
01054073;Ladelund;488;31;45;160;50;18;42;98;19;22;3
01054074;Langeneß;76;-;12;49;3;9;-;-;3;-;-
01054075;Langenhorn;1187;191;61;447;137;30;62;121;65;47;26
01054076;Leck;2502;88;165;1353;270;116;173;222;57;44;14
01054077;Lexgaard;23;-;3;16;4;-;-;-;-;-;-
01054078;List;693;9;254;281;53;0;18;21;9;13;35
01054079;Löwenstedt;196;40;28;58;15;-;7;26;13;9;-
01054080;Lütjenholm;120;24;16;31;10;-;20;13;3;3;-
01054083;Midlum;157;35;7;52;27;3;6;12;12;3;-
01054084;Mildstedt;1311;99;30;445;156;75;119;193;94;70;30
01054085;Nebel;449;94;16;192;73;6;28;22;0;9;9
